# 2023-07-18
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_rdd_groupby,rdd,6,50200,5,10000,320.8790669441223,10000,FALSE,TRUE,2023-07-21T22:07:25.733978
success,dedupe_rdd_mappart,rdd,2,10200,4,10000,77.8935706615448,10000,FALSE,TRUE,2023-07-21T22:08:43.883846
success,dedupe_rdd_mappart,rdd,3,20200,4,10000,156.13774156570435,10000,FALSE,TRUE,2023-07-21T22:11:20.276352
success,dedupe_rdd_mappart,rdd,6,50200,5,10000,391.8616464138031,10000,FALSE,TRUE,2023-07-21T22:17:52.386251
success,dedupe_rdd_reduce,rdd,2,10200,4,10000,6.270786285400391,10000,FALSE,TRUE,2023-07-21T22:17:58.902379
success,dedupe_rdd_reduce,rdd,3,20200,4,10000,80.40801858901978,10000,FALSE,TRUE,2023-07-21T22:19:19.574352
success,dedupe_rdd_reduce,rdd,6,50200,5,10000,313.51819109916687,10000,FALSE,TRUE,2023-07-21T22:24:33.355336
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,2,0,1,4.316376209259033,1,FALSE,TRUE,2023-07-22T08:56:55.436449
success,dedupe_pandas,pandas,3,3,0,1,3.6640031337738037,1,FALSE,TRUE,2023-07-22T08:56:59.224464
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,2,0,1,3.870070457458496,1,FALSE,TRUE,2023-07-22T09:23:33.627655
success,dedupe_pandas,pandas,3,3,0,1,3.699968099594116,1,FALSE,TRUE,2023-07-22T09:23:37.472806
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,2,0,1,3.524850368499756,1,FALSE,TRUE,2023-07-22T09:49:18.898756
success,dedupe_pandas,pandas,3,3,0,1,3.795905828475952,1,FALSE,TRUE,2023-07-22T09:49:30.962791
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,2,0,1,3.6148533821105957,1,FALSE,TRUE,2023-07-22T09:56:21.254769
success,dedupe_pandas,pandas,3,3,0,1,3.7858119010925293,1,FALSE,TRUE,2023-07-22T09:56:25.176541
success,dedupe_pandas,pandas,2,3,0,2,3.3978469371795654,2,FALSE,TRUE,2023-07-22T09:56:28.710638
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,2,0,1,3.6841201782226562,1,FALSE,TRUE,2023-07-22T10:02:59.130788
success,dedupe_pandas,pandas,3,3,0,1,3.7289369106292725,1,FALSE,TRUE,2023-07-22T10:04:24.128465
success,dedupe_pandas,pandas,2,3,0,2,3.354219436645508,2,FALSE,TRUE,2023-07-22T10:04:32.574878
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,2,0,1,3.5871872901916504,1,FALSE,TRUE,2023-07-22T10:06:08.049614
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,2,0,1,3.3437204360961914,1,FALSE,TRUE,2023-07-22T11:04:15.661698
success,dedupe_pandas,pandas,3,3,0,1,3.478529214859009,1,FALSE,TRUE,2023-07-22T11:04:23.505214
success,dedupe_pandas,pandas,6,6,1,1,5.755805730819702,1,FALSE,TRUE,2023-07-22T11:04:33.770057
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,2,0,1,17.80075430870056,1,FALSE,TRUE,2023-07-22T11:06:32.872768
success,dedupe_pandas,pandas,3,3,0,1,3.4738011360168457,1,FALSE,TRUE,2023-07-22T11:06:42.244370
success,dedupe_pandas,pandas,6,6,1,1,5.756753206253052,1,FALSE,TRUE,2023-07-22T11:06:50.972174
success,dedupe_fluent_nested_withCol,fluent,2,2,0,1,22.23240828514099,1,FALSE,TRUE,2023-07-22T11:07:17.746891
success,dedupe_fluent_nested_withCol,fluent,3,3,0,1,21.347310781478882,1,FALSE,TRUE,2023-07-22T11:07:42.823982
success,dedupe_fluent_nested_withCol,fluent,6,6,1,1,21.499983072280884,1,FALSE,TRUE,2023-07-22T11:08:13.652970
# 2023-07-22
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,6,50200,5,10000,3291.272482395172,10000,FALSE,TRUE,2023-07-22T12:10:05.215347
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_nested_python,fluent,6,50200,5,10000,311.1252522468567,10000,FALSE,TRUE,2023-07-22T12:29:57.618481
success,dedupe_fluent_windows,fluent,6,50200,5,10000,7571.451246023178,10000,FALSE,TRUE,2023-07-22T14:36:09.333267
success,dedupe_rdd_groupby,rdd,6,50200,5,10000,317.1746883392334,10000,FALSE,TRUE,2023-07-22T14:41:26.810894
success,dedupe_rdd_mappart,rdd,6,50200,5,10000,411.6769952774048,10000,FALSE,TRUE,2023-07-22T14:48:18.760065
success,dedupe_rdd_reduce,rdd,6,50200,5,10000,334.8340630531311,10000,FALSE,TRUE,2023-07-22T14:53:53.863167
# 2023-09-03
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,6,50200,5,10000,3658.6085538864136,10000,FALSE,TRUE,2023-09-03T22:24:48.603779
success,dedupe_fluent_nested_python,fluent,6,50200,5,10000,345.26695132255554,10000,FALSE,TRUE,2023-09-03T22:30:34.182668
success,dedupe_fluent_windows,fluent,6,50200,5,10000,7211.760504722595,10000,FALSE,TRUE,2023-09-04T00:30:46.233276
success,dedupe_rdd_groupby,rdd,6,50200,5,10000,334.7028331756592,10000,FALSE,TRUE,2023-09-04T00:36:21.212857
success,dedupe_rdd_mappart,rdd,6,50200,5,10000,407.6830003261566,10000,FALSE,TRUE,2023-09-04T00:43:09.177864
success,dedupe_rdd_reduce,rdd,6,50200,5,10000,325.53313398361206,10000,FALSE,TRUE,2023-09-04T00:48:34.994596
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_pandas,pandas,2,2,0,1,4.333016395568848,1,FALSE,TRUE,2023-12-25T15:11:10.331856
