 strategy_name,interface,num_source_rows,elapsed_time,relative_cardinality,engine,finished_at,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.302959,3,dask,2024-10-08T21:56:12.924467,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.317277,3,dask,2024-10-08T21:56:13.723465,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.198871,3,dask,2024-10-08T21:56:14.070593,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.260122,3,dask,2024-10-08T21:56:14.773937,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.204795,3,dask,2024-10-08T21:56:15.124202,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.907700,3,dask,2024-10-08T21:56:16.198312,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,0.940449,3,dask,2024-10-08T21:56:17.284803,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.309173,3,dask,2024-10-08T21:56:18.027898,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,7.727183,3,dask,2024-10-08T21:56:25.899459,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,0.952226,3,dask,2024-10-08T21:56:26.997203,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.313709,3,dask,2024-10-08T21:56:27.455214,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.217940,3,dask,2024-10-08T21:56:27.816592,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,8.233681,3,dask,2024-10-08T21:56:36.196264,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,0.968319,3,dask,2024-10-08T21:56:37.312300,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.163575,3,dask,2024-10-08T21:56:37.622883,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.200974,3,dask,2024-10-08T21:56:37.974085,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,7.530078,3,dask,2024-10-08T21:56:45.651782,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.253318,3,dask,2024-10-08T21:56:46.055039,
 strategy_name,interface,num_source_rows,relative_cardinality,elapsed_time,num_output_rows,engine,finished_at,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,1.044897,3,dask,2024-10-09T05:58:12.697279,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.313007,3,dask,2024-10-09T05:58:13.163605,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.934899,3,dask,2024-10-09T05:58:14.850464,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,7.879900,3,dask,2024-10-09T05:58:22.874516,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.179029,3,dask,2024-10-09T05:58:23.200859,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.339360,3,dask,2024-10-09T05:58:23.683736,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,7.913507,3,dask,2024-10-09T05:58:31.740951,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.310458,3,dask,2024-10-09T05:58:32.195914,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.322561,3,dask,2024-10-09T05:58:32.663128,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.174790,3,dask,2024-10-09T05:58:32.981610,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,0.980672,3,dask,2024-10-09T05:58:34.654977,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.329713,3,dask,2024-10-09T05:58:35.129460,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.986868,3,dask,2024-10-09T05:58:36.262180,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,0.999128,3,dask,2024-10-09T05:58:37.408621,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,0.996872,3,dask,2024-10-09T05:58:38.550209,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,0.985847,3,dask,2024-10-09T05:58:40.242971,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.227278,3,dask,2024-10-09T05:58:40.614469,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.211428,3,dask,2024-10-09T05:58:41.275774,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,7.905896,3,dask,2024-10-09T05:58:49.326752,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,0.992556,3,dask,2024-10-09T05:58:50.464445,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.924854,3,dask,2024-10-09T05:58:51.533350,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,7.702023,3,dask,2024-10-09T05:58:59.378756,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.262616,3,dask,2024-10-09T05:58:59.784896,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,7.662257,3,dask,2024-10-09T05:59:07.590955,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,0.951346,3,dask,2024-10-09T05:59:08.686949,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,0.958848,3,dask,2024-10-09T05:59:09.789340,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.257091,3,dask,2024-10-09T05:59:10.189967,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.201943,3,dask,2024-10-09T05:59:10.536210,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,7.552362,3,dask,2024-10-09T05:59:18.234970,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.207396,3,dask,2024-10-09T05:59:18.585273,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,0.931273,3,dask,2024-10-09T05:59:19.660941,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.302897,3,dask,2024-10-09T05:59:20.398184,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,7.587366,3,dask,2024-10-09T05:59:28.129501,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.251889,3,dask,2024-10-09T05:59:28.526949,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,7.521744,3,dask,2024-10-09T05:59:36.191665,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.900609,3,dask,2024-10-09T05:59:37.237334,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.160016,3,dask,2024-10-09T05:59:37.543132,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,0.946355,3,dask,2024-10-09T05:59:38.938223,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.223101,3,dask,2024-10-09T05:59:39.304596,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,7.603748,3,dask,2024-10-09T05:59:47.614092,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.292009,3,dask,2024-10-09T05:59:48.049356,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,7.586908,3,dask,2024-10-09T05:59:56.070258,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.220132,3,dask,2024-10-09T05:59:56.434820,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.221417,3,dask,2024-10-09T05:59:56.800835,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.295671,3,dask,2024-10-09T05:59:57.239052,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.917398,3,dask,2024-10-09T05:59:58.300664,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.164864,3,dask,2024-10-09T05:59:58.609968,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.160724,3,dask,2024-10-09T05:59:58.913918,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.201166,3,dask,2024-10-09T05:59:59.258472,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,0.953583,3,dask,2024-10-09T06:00:00.605972,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.308652,3,dask,2024-10-09T06:00:01.060198,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,7.588283,3,dask,2024-10-09T06:00:09.043815,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.217901,3,dask,2024-10-09T06:00:09.415031,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.221957,3,dask,2024-10-09T06:00:09.779406,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.163248,3,dask,2024-10-09T06:00:10.086350,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.303892,3,dask,2024-10-09T06:00:10.537268,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,7.592013,3,dask,2024-10-09T06:00:18.273164,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.162517,3,dask,2024-10-09T06:00:18.581487,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.246406,3,dask,2024-10-09T06:00:18.977529,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,0.951303,3,dask,2024-10-09T06:00:20.364427,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.295475,3,dask,2024-10-09T06:00:20.804847,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.199760,3,dask,2024-10-09T06:00:21.147046,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,7.647333,3,dask,2024-10-09T06:00:28.940434,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,0.951521,3,dask,2024-10-09T06:00:30.035102,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,0.945497,3,dask,2024-10-09T06:00:31.124184,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.199029,3,dask,2024-10-09T06:00:31.466762,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,7.566625,3,dask,2024-10-09T06:00:39.476959,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.251106,3,dask,2024-10-09T06:00:39.873536,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.162309,3,dask,2024-10-09T06:00:40.180764,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,0.934652,3,dask,2024-10-09T06:00:41.259021,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.316327,3,dask,2024-10-09T06:00:41.970121,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.316466,3,dask,2024-10-09T06:00:42.430583,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.222476,3,dask,2024-10-09T06:00:42.795650,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.216187,3,dask,2024-10-09T06:00:43.156740,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,7.622817,3,dask,2024-10-09T06:00:50.923683,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.222822,3,dask,2024-10-09T06:00:51.578592,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,7.629222,3,dask,2024-10-09T06:00:59.353998,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,0.906306,3,dask,2024-10-09T06:01:00.404960,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.206531,3,dask,2024-10-09T06:01:00.756258,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,7.584072,3,dask,2024-10-09T06:01:08.777162,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,7.589650,3,dask,2024-10-09T06:01:16.509811,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.299764,3,dask,2024-10-09T06:01:16.955674,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,7.550094,3,dask,2024-10-09T06:01:24.650428,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.194756,3,dask,2024-10-09T06:01:24.988093,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,7.606821,3,dask,2024-10-09T06:01:32.740890,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.164648,3,dask,2024-10-09T06:01:33.049579,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,0.939344,3,dask,2024-10-09T06:01:34.132604,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.217321,3,dask,2024-10-09T06:01:34.495238,
