 strategy,interface,num_data_points,elapsed_time,record_count,engine,finished_at,
vanilla_dask_ddf_grp_udaf,ddf,900,0.138835,9,dask,2024-07-21T10:46:20.322228,
vanilla_dask_sql_no_gpu,ddf,9,0.079805,9,dask,2024-07-21T10:46:20.548065,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.138573,9,dask,2024-07-21T10:46:20.986671,
vanilla_dask_ddf_grp_udaf,ddf,90,0.122019,9,dask,2024-07-21T10:46:21.406227,
vanilla_dask_ddf_grp_apply,ddf,9000,0.108859,9,dask,2024-07-21T10:46:21.660654,
vanilla_dask_ddf_grp_udaf,ddf,900,0.123020,9,dask,2024-07-21T10:46:21.928248,
vanilla_dask_ddf_grp_udaf,ddf,90,0.121478,9,dask,2024-07-21T10:46:22.355707,
vanilla_dask_sql_no_gpu,ddf,90000,0.106986,9,dask,2024-07-21T10:46:22.764078,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.139227,9,dask,2024-07-21T10:46:23.205053,
vanilla_dask_sql_no_gpu,ddf,9,0.077800,9,dask,2024-07-21T10:46:23.426071,
vanilla_dask_ddf_grp_udaf,ddf,900,0.121776,9,dask,2024-07-21T10:46:23.693376,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.125634,9,dask,2024-07-21T10:46:23.963994,
vanilla_dask_sql_no_gpu,ddf,900,0.102334,9,dask,2024-07-21T10:46:24.364219,
vanilla_dask_sql_no_gpu,ddf,9000000,0.868331,9,dask,2024-07-21T10:46:25.377887,
vanilla_dask_ddf_grp_udaf,ddf,90000,0.136983,9,dask,2024-07-21T10:46:25.660435,
vanilla_dask_sql_no_gpu,ddf,9,0.074086,9,dask,2024-07-21T10:46:25.880434,
vanilla_dask_ddf_grp_udaf,ddf,9,0.087256,9,dask,2024-07-21T10:46:26.113071,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.129193,9,dask,2024-07-21T10:46:26.388256,
vanilla_dask_ddf_grp_udaf,ddf,90,0.117436,9,dask,2024-07-21T10:46:26.808576,
vanilla_dask_ddf_grp_apply,ddf,90000,0.129132,9,dask,2024-07-21T10:46:27.082321,
vanilla_dask_sql_no_gpu,ddf,9,0.077015,9,dask,2024-07-21T10:46:27.458216,
vanilla_dask_sql_no_gpu,ddf,9000000,0.856681,9,dask,2024-07-21T10:46:28.461344,
vanilla_dask_sql_no_gpu,ddf,90000,0.113522,9,dask,2024-07-21T10:46:28.719291,
vanilla_dask_ddf_grp_apply,ddf,90,0.093510,9,dask,2024-07-21T10:46:28.957615,
vanilla_dask_sql_no_gpu,ddf,9000,0.106433,9,dask,2024-07-21T10:46:29.363683,
vanilla_dask_sql_no_gpu,ddf,9,0.077026,9,dask,2024-07-21T10:46:29.589934,
vanilla_dask_sql_no_gpu,ddf,9,0.078892,9,dask,2024-07-21T10:46:29.815659,
vanilla_dask_ddf_grp_apply,ddf,90,0.095031,9,dask,2024-07-21T10:46:30.056983,
vanilla_dask_ddf_grp_apply,ddf,9,0.053253,9,dask,2024-07-21T10:46:30.254970,
vanilla_dask_ddf_grp_udaf,ddf,90,0.115013,9,dask,2024-07-21T10:46:30.520045,
vanilla_dask_sql_no_gpu,ddf,9,0.073987,9,dask,2024-07-21T10:46:31.048957,
vanilla_dask_ddf_grp_apply,ddf,90,0.090822,9,dask,2024-07-21T10:46:31.284945,
vanilla_dask_sql_no_gpu,ddf,9000,0.103596,9,dask,2024-07-21T10:46:31.532032,
