# 2023-07-18
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_nested_python,fluent,2,10200,4,10000,9.70890188217163,10000,FALSE,TRUE,pyspark,2023-07-21T08:58:48.166550
success,dedupe_fluent_nested_python,fluent,3,20200,4,10000,85.07015895843506,10000,FALSE,TRUE,pyspark,2023-07-21T09:00:13.628049
success,dedupe_fluent_nested_python,fluent,6,50200,5,10000,300.5468056201935,10000,FALSE,TRUE,pyspark,2023-07-21T09:05:14.571560
success,dedupe_fluent_nested_withCol,fluent,2,10200,4,10000,33.978445529937744,10000,FALSE,TRUE,pyspark,2023-07-21T09:05:48.949774
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_nested_withCol,fluent,2,1020,3,1000,24.436503410339355,1000,FALSE,TRUE,pyspark,2023-07-21T13:18:50.860762
success,dedupe_fluent_nested_withCol,fluent,3,2020,3,1000,23.77716851234436,1000,FALSE,TRUE,pyspark,2023-07-21T13:19:14.808001
success,dedupe_fluent_nested_withCol,fluent,6,5020,4,1000,23.636062383651733,1000,FALSE,TRUE,pyspark,2023-07-21T13:19:38.610229
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_nested_withCol,fluent,2,10200,4,10000,159.01347422599792,10000,FALSE,TRUE,pyspark,2023-07-21T13:23:17.078860
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_pandas,pandas,2,10200,4,10000,39.57620596885681,10000,FALSE,TRUE,pyspark,2023-07-21T18:28:28.103886
success,dedupe_pandas,pandas,3,20200,4,10000,350.04468631744385,10000,FALSE,TRUE,pyspark,2023-07-21T18:34:18.568150
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_windows,fluent,2,10200,4,10000,328.1262128353119,10000,FALSE,TRUE,pyspark,2023-07-21T19:06:46.909017
success,dedupe_fluent_windows,fluent,3,20200,4,10000,1265.5389742851257,10000,FALSE,TRUE,pyspark,2023-07-21T19:27:52.720976
success,dedupe_fluent_windows,fluent,6,50200,5,10000,7499.370779037476,10000,FALSE,TRUE,pyspark,2023-07-21T21:32:52.390380
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_rdd_groupby,rdd,2,10200,4,10000,8.410318851470947,10000,FALSE,TRUE,pyspark,2023-07-21T22:00:39.073427
success,dedupe_rdd_groupby,rdd,3,20200,4,10000,85.28780841827393,10000,FALSE,TRUE,pyspark,2023-07-21T22:02:04.604558
success,dedupe_rdd_groupby,rdd,6,50200,5,10000,320.8790669441223,10000,FALSE,TRUE,pyspark,2023-07-21T22:07:25.733978
success,dedupe_rdd_mappart,rdd,2,10200,4,10000,77.8935706615448,10000,FALSE,TRUE,pyspark,2023-07-21T22:08:43.883846
success,dedupe_rdd_mappart,rdd,3,20200,4,10000,156.13774156570435,10000,FALSE,TRUE,pyspark,2023-07-21T22:11:20.276352
success,dedupe_rdd_mappart,rdd,6,50200,5,10000,391.8616464138031,10000,FALSE,TRUE,pyspark,2023-07-21T22:17:52.386251
success,dedupe_rdd_reduce,rdd,2,10200,4,10000,6.270786285400391,10000,FALSE,TRUE,pyspark,2023-07-21T22:17:58.902379
success,dedupe_rdd_reduce,rdd,3,20200,4,10000,80.40801858901978,10000,FALSE,TRUE,pyspark,2023-07-21T22:19:19.574352
success,dedupe_rdd_reduce,rdd,6,50200,5,10000,313.51819109916687,10000,FALSE,TRUE,pyspark,2023-07-21T22:24:33.355336
# 2023-07-22
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_pandas,pandas,6,50200,5,10000,3291.272482395172,10000,FALSE,TRUE,pyspark,2023-07-22T12:10:05.215347
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_fluent_nested_python,fluent,6,50200,5,10000,311.1252522468567,10000,FALSE,TRUE,pyspark,2023-07-22T12:29:57.618481
success,dedupe_fluent_windows,fluent,6,50200,5,10000,7571.451246023178,10000,FALSE,TRUE,pyspark,2023-07-22T14:36:09.333267
success,dedupe_rdd_groupby,rdd,6,50200,5,10000,317.1746883392334,10000,FALSE,TRUE,pyspark,2023-07-22T14:41:26.810894
success,dedupe_rdd_mappart,rdd,6,50200,5,10000,411.6769952774048,10000,FALSE,TRUE,pyspark,2023-07-22T14:48:18.760065
success,dedupe_rdd_reduce,rdd,6,50200,5,10000,334.8340630531311,10000,FALSE,TRUE,pyspark,2023-07-22T14:53:53.863167
# 2023-09-03
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_pandas,pandas,6,50200,5,10000,3658.6085538864136,10000,FALSE,TRUE,pyspark,2023-09-03T22:24:48.603779
success,dedupe_fluent_nested_python,fluent,6,50200,5,10000,345.26695132255554,10000,FALSE,TRUE,pyspark,2023-09-03T22:30:34.182668
success,dedupe_fluent_windows,fluent,6,50200,5,10000,7211.760504722595,10000,FALSE,TRUE,pyspark,2023-09-04T00:30:46.233276
success,dedupe_rdd_groupby,rdd,6,50200,5,10000,334.7028331756592,10000,FALSE,TRUE,pyspark,2023-09-04T00:36:21.212857
success,dedupe_rdd_mappart,rdd,6,50200,5,10000,407.6830003261566,10000,FALSE,TRUE,pyspark,2023-09-04T00:43:09.177864
success,dedupe_rdd_reduce,rdd,6,50200,5,10000,325.53313398361206,10000,FALSE,TRUE,pyspark,2023-09-04T00:48:34.994596
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,finished_at
success,dedupe_pyspark_df_window,fluent,3,202,2,100,19.814901113510132,100,FALSE,TRUE,2024-10-08T22:22:45.057534
success,dedupe_pyspark_rdd_reduce,rdd,3,21,1,10,9.045623302459717,10,FALSE,TRUE,2024-10-08T22:22:54.218941
success,dedupe_pyspark_df_window,fluent,2,102,2,100,17.068132638931274,100,FALSE,TRUE,2024-10-08T22:23:11.402929
success,dedupe_pyspark_rdd_reduce,rdd,3,202,2,100,8.982661008834839,100,FALSE,TRUE,2024-10-08T22:23:20.499034
success,dedupe_pyspark_df_nested_pandas,pandas,3,202,2,100,12.421439170837402,100,FALSE,TRUE,2024-10-08T22:23:33.036104
success,dedupe_pyspark_df_nested_pandas,pandas,6,5020,4,1000,39.794095516204834,1000,FALSE,TRUE,2024-10-08T22:24:12.967099
success,dedupe_pyspark_rdd_reduce,rdd,6,502,3,100,10.443392992019653,100,FALSE,TRUE,2024-10-08T22:24:23.531569
success,dedupe_pyspark_rdd_reduce,rdd,6,51,2,10,10.33492636680603,10,FALSE,TRUE,2024-10-08T22:24:33.990481
success,dedupe_pyspark_df_nested_python,fluent,3,20200,4,10000,77.98788285255432,10000,FALSE,TRUE,2024-10-08T22:25:52.219265
success,dedupe_pyspark_df_nested_pandas,pandas,6,5020,4,1000,38.65237379074097,1000,FALSE,TRUE,2024-10-08T22:26:31.000702
success,dedupe_pyspark_df_nested_python,fluent,6,502,3,100,7.718091249465942,100,FALSE,TRUE,2024-10-08T22:26:38.844177
success,dedupe_pyspark_df_nested_w_col,fluent,2,10200,4,10000,32.0532283782959,10000,FALSE,TRUE,2024-10-08T22:27:11.135975
success,dedupe_pyspark_df_nested_python,fluent,3,2020,3,1000,8.113552331924438,1000,FALSE,TRUE,2024-10-08T22:27:19.381297
success,dedupe_pyspark_rdd_reduce,rdd,2,102,2,100,8.556186199188232,100,FALSE,TRUE,2024-10-08T22:27:28.056195
success,dedupe_pyspark_rdd_reduce,rdd,2,10200,4,10000,8.584739446640015,10000,FALSE,TRUE,2024-10-08T22:27:36.881436
success,dedupe_pyspark_df_nested_python,fluent,3,21,1,10,7.5867931842803955,10,FALSE,TRUE,2024-10-08T22:27:44.587836
success,dedupe_pyspark_df_window,fluent,6,51,2,10,22.308169841766357,10,FALSE,TRUE,2024-10-08T22:28:07.017134
